time,temp,OXY_oxy,NIT_nit,NIT_amm,PHS_frp,SIL_rsi,OGM_doc,PHY_TCHLA,NRMSE
2023-11-12 07:19:46,-18733.3839986965,-43873690.0308874,-121306.600118519,-482247.639076935,-12326.2915402782,-453314.799978346,-6790390.30802596,-41347.8252519255,1.42063557883923
2023-11-12 07:18:16,-12945.1949435085,-58070937.1651252,-96181.7480040854,-478622.922998656,-13086.5598698285,-476730.072487592,-3246210.08628676,-36753.0963604227,1.36585183836027
2023-11-12 07:16:48,-10136.9567049023,-38560312.6537071,-97126.8045344037,-475032.894690486,-13177.0304576795,-455750.184692362,-2604813.93100983,-42129.4430352573,1.30138584217799
2023-11-12 07:15:23,-52330.862239046,-20580161.8257822,-184487.817325466,-462226.749588652,-11430.7083938457,-424772.173311374,-6916211.95271211,-47590.3576390685,1.46030119093922
2023-11-12 07:13:54,-8422.20731954067,-39058563.7440119,-111900.032116837,-484388.599591221,-13200.8041168253,-481067.213713251,-3139402.69604582,-36404.2332740858,1.30604383215187
2023-11-12 07:12:26,-28665.7056355957,-21551273.0543737,-87868.210106908,-469268.32969083,-12183.1114052349,-441513.506739188,-3903959.33775318,-40757.1454200711,1.30890086270023
2023-11-12 07:11:00,-49096.2619754674,-16390588.9721177,-82697.379357247,-464310.470000497,-12405.3257946535,-455367.713807511,-4062437.64526344,-35442.9678341953,1.31851564432002
2023-11-12 07:09:31,-11021.3267259267,-28595568.297853,-83899.227811003,-470794.394192814,-12907.7490578432,-463654.79656702,-3648629.70245778,-38291.0738891042,1.27260984843052
2023-11-12 07:08:04,-57461.0451456978,-27413359.0701415,-51964.4313594795,-470343.571276423,-12375.9756270738,-427384.044925176,-2456698.27758006,-29042.8911906973,1.29719121385458
2023-11-12 07:06:36,-11835.0496502981,-43858198.0498375,-78097.9502465892,-488548.625082268,-11650.0811631558,-480172.212773014,-19313782.3648972,-55804.8337486956,1.51411750309834
2023-11-12 07:05:11,-62421.6299791441,-34087022.3809246,-383190.03791235,-484908.818048662,-12158.3022810887,-436549.821060425,-12089658.6452451,-41183.655693458,1.65399948116883
2023-11-12 07:03:41,-41062.6449993136,-42669893.9649405,-131270.207864048,-476557.050129259,-12526.9972991421,-438592.780055093,-7039524.30346617,-31144.0015443495,1.44962530358973
2023-11-12 07:02:12,-36199.2354310156,-23517712.7234541,-59341.9128773185,-464558.575629363,-12725.7959691193,-446028.596211831,-2865340.43472797,-41824.8601364636,1.29915361580363
2023-11-12 07:00:44,-26561.8811175875,-40313835.6796088,-113066.325755914,-480068.828328925,-13339.2245586685,-465414.382134991,-5549362.66168948,-57616.7359328404,1.46040549548307
